raw,transformed,position
"Primary and Secondary Education, and Professional Education",Minister of Primary and Secondary Education,Q112221034
"Primary, Secondary, and Technical Education",Minister of Primary and Secondary Education,Q112221034
Public Works,Minister of Public Works,Q112221035
Public Works and Infrastructure,Minister of Public Works,Q112221035
"Public Works, Territorial Administration, Housing and Urban Development",Minister of Public Works,Q112221035
Reconstruction,Minister of Reconstruction,Q112221036
Regional Cooperation,Minister of Regional Cooperation,Q112221038
Regional Integration,Minister of Regional Integration,Q112221039
Regional Planning,Minister of Regional Planning,Q112221040
Relations with the Parliament,Minister of Relations with the Parliament,Q112221041
Rural Development,Minister of Rural Development,Q112221043
Scientific Research,Minister of Scientific Research,Q112221044
Scientific Research and Technical Innovation,Minister of Scientific Research,Q112221044
Scientific Research and Technology,Minister of Scientific Research,Q112221044
Small and Medium Enterprises,Minister of Small and Medium Enterprises,Q112221045
Social Affairs,Minister of Social Affairs,Q108730998
Social Affairs and National Solidarity,Minister of Social Affairs,Q108730998
"Social Affairs, Humanitarian Action and National Solidarity",Minister of Social Affairs,Q108730998
"Social Affairs, Humanitarian Affairs, and National Solidarity",Minister of Social Affairs,Q108730998
Solidarity and Humanitarian Action,Minister of Solidarity and Humanitarian Affairs,Q112221047
Solidarity and Humanitarian Affairs,Minister of Solidarity and Humanitarian Affairs,Q112221047
"Spatial Planning, Town Planning, Housing, Infrastructures, Public Works and Reconstruction",Minister of Spatial Planning,Q112221048
"Spatial planning, Town planning and Housing",Minister of Spatial Planning,Q112221048
Sports,Minister of Sports,Q112221049
Sports and Leisure,Minister of Sports,Q112221049
Technical and Professional Education,Minister of Technical and Professional Education,Q112221050
Tourism,Minister of Tourism,Q54437053
Trade,Minister of Trade and Industry,Q54430447
"Trade, Small and Medium Enterprises",Minister of Trade and Industry,Q54430447
Transport,Minister of Transport,Q112221051
Transport and Communications,Minister of Transport,Q112221051
Vice-Prime Minister and Minister of Transport,Minister of Transport,Q112221051
Urban Affairs and Housing,Minister of Urban Development,Q112221052
Urban Development,Minister of Urban Development,Q112221052
Urban Development and Housing,Minister of Urban Development,Q112221052
Urban Planning and Housing,Minister of Urban Development,Q112221052
"Vocational training, Trades and Crafts",Minister of Vocational Training,Q112221053
"Vocational Training, Arts, and Crafts",Minister of Vocational Training,Q112221053
Water Resources and Electricity,Minister of Water Resources and Electricity,Q112221054
Women Affairs,Minister of Women Affairs,Q112221055
Youth and Citizenship,Minister of Youth,Q112221057
Youth and Sports,Minister of Youth,Q112221057
Youth and and Initiation to Citizenship,Minister of Youth,Q112221057
"Youth, Sports, Culture and Arts",Minister of Youth,Q112221057
Minister without Portfolio,Minister without Portfolio,Q112221058
Prime Minister,Prime Minister,Q3401753
Vice-President,Vice-President,Q3556877
Vice-Prime Minister,Vice Prime Minister,Q54099408
